Year,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C3803,C3804,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,F3106,G5105,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2012,R23000,à§ímåß,7431000,3713000,3718000,7279000,3643000,3636000,1056000,542000,514000,4780000,2460000,2319000,1591000,709000,882000,67913,35013,32900,1.46,61354,32902,28452,110624,65421,45203,103032,60281,42751,42704,13494,15.8,33.4,0.4,96,1567.5,43452,9375455,1371,56001,294,27344,101800,253100,522,5697,98891,985,22983,423742,440,13589,220898,72932,67909,220,12256,194965,62695,36542,23,51,545,10499,9189,171679,3927,253,37969,3529,176,96,46413,13282,221382,949781,1027718,56686,51297,46985,259968,57660,22756,18947,15584,5650460,2956185,1613641,1060865,287,5108,3682,1182,149047,1207,139906,15865,253787,69088,14579,21847,8674,10730,9837,28591,11845,27424,51171
2011,R23000,à§ímåß,7418000,3707000,3712000,7263000,3634000,3629000,1063000,545000,518000,4824000,2480000,2344000,1530000,680000,850000,68973,35374,33599,1.46,59720,32206,27514,108601,63245,45356,102222,59525,42697,42425,13451,16.1,32.7,-0.7,98,1785.5,40934,8407721,1439,57323,303,27816,101200,253200,522,5644,97925,983,22942,430770,439,13414,219695,72411,67416,220,12135,192780,60584,35462,24,51,567,10412,9643,172004,4312,300,37902,3736,176,100,44481,13715,236173,1015112,916509,60233,54953,50572,266364,55778,22144,18347,14802,5540733,2895159,1557691,1055046,288,5058,3672,1143,144524,1422,134999,15337,269308,71971,14452,22263,8773,13221,11766,34387,11238,29263,51974
2010,R23000,à§ímåß,7410719,3704220,3706499,7174451,3587216,3587235,1065254,545767,519487,4791445,2457337,2334108,1492085,664750,827335,69872,36069,33803,1.52,58477,31914,26563,105769,61669,44100,107031,62767,44264,45039,14253,16.6,34.1,1,102,1730,41003,8153860,1503,57810,305,27478,101400,256400,523,5584,97605,983,22924,435821,438,13230,215822,70681,65859,222,12193,191707,60168,35445,26,51,586,10267,9824,171296,4333,287,37586,3777,177,105,43418,13754,252846,1112534,705381,57826,53855,50049,279921,57627,23439,19899,13758,5643728,3061422,1436173,1117196,289,5040,3646,1123,142954,744,132487,14948,302742,73734,18889,21609,10860,12785,11653,34825,18960,36351,63076
2009,R23000,à§ímåß,7411000,3712000,3700000,7234000,3626000,3608000,1087000,559000,528000,4860000,2512000,2349000,1471000,658000,813000,69768,35721,34047,1.43,55189,29977,25212,120530,72527,48003,116455,70112,46343,45790,14513,16.5,31.9,1.3,103,1755.5,36995,7602818,1542,58336,306,27815,102600,273200,525,5661,98480,990,22904,439379,438,13200,215509,72449,67412,222,12045,188093,59261,35567,26,51,630,10115,10214,169198,4824,358,36578,4013,183,106,41980,13418,271394,1311406,575369,50632,48234,44663,265652,54453,20696,22433,11047,5050559,2743276,1135529,1156093,293,5030,3635,1153,144677,778,133904,14728,288259,71809,18227,21901,9035,14578,12447,33472,15908,31692,59192
2008,R23000,à§ímåß,7399000,3711000,3688000,7213000,3620000,3593000,1088000,560000,528000,4896000,2530000,2367000,1419000,634000,785000,71029,36526,34503,1.43,56036,30640,25396,130373,79005,51368,111982,66458,45524,47119,13527,16.4,33.6,0.1,93,1579.5,42504,11474587,1567,57303,302,27326,108000,320200,527,5679,100915,990,22806,440536,438,12705,212833,69685,65070,222,12026,187252,59097,34826,28,50,643,10024,10973,169218,5049,314,38125,3935,186,109,44430,13372,236001,870162,1057145,52977,46952,43840,260727,76868,22312,37206,16779,6424616,3012790,1720347,1653986,295,4986,3624,1182,148716,544,138256,14334,291127,73801,14970,22348,8770,15353,12178,37604,15593,29905,60604
2007,R23000,à§ímåß,7357000,3691000,3666000,7180000,3603000,3577000,1083000,557000,527000,4908000,2532000,2376000,1368000,610000,759000,70218,36180,34038,1.38,53618,29305,24313,132349,80388,51961,111829,65904,45925,46940,13772,16.6,34.4,2.1,100,1269.5,42552,11031123,1594,56536,300,26599,105600,296300,531,5660,101599,987,22205,437862,439,12540,211452,69475,65003,226,12042,187017,59606,34821,27,49,663,9999,11932,168282,5588,373,37243,3620,187,118,48009,13957,171112,719976,1393501,65380,49562,46360,291525,74050,22127,35578,15216,6223137,3003822,1602532,1557402,300,4932,3611,1181,148063,436,138293,13978,299043,72362,24570,20891,11048,14904,11711,32676,13457,30578,66846
2006,R23000,à§ímåß,7307000,3666000,3641000,7140000,3583000,3557000,1079000,554000,525000,4919000,2534000,2385000,1311000,582000,729000,69999,35935,34064,1.36,52294,28543,23751,132374,81169,51205,111375,65515,45860,46374,13861,15.9,33.6,0.4,119,1611.5,46895,13067467,1645,54382,289,26284,99700,283100,531,5633,102598,985,21901,436364,439,12282,207525,68662,64186,233,12128,190464,62399,36007,28,49,660,9632,12797,166437,5878,432,37049,3664,192,123,51187,14375,175678,748701,1439104,67593,51635,48493,292765,86865,24075,43878,18233,7217069,3301066,1896408,1983689,310,4864,3575,1178,146616,481,139006,13891,277661,68913,19220,21009,8586,14334,11272,36014,13720,29678,54915
2017,R24000,éOèdåß,1800000,877000,923000,1763000,859000,904000,226000,116000,110000,1051000,533000,518000,522000,228000,294000,12663,6490,6173,1.49,20531,10468,10063,25633,15206,10427,29696,16680,13016,7937,2784,16.1,31.8,2.2,98,1679.5,8906,1976647,1394,31260,99,9482,29300,63900,215,1585,16690,379,7023,95480,171,3988,50428,17430,16595,72,3663,48919,15695,7936,4,7,86,1261,1430,13742,687,60,3060,380,39,48,4254,2853,43037,168468,259904,13000,13614,11880,49352,9894,5202,3307,1298,950862,636186,140120,170707,86,1525,837,411,42877,100,38530,5290,293824,74010,13446,19988,12208,12380,12839,38394,17268,28966,64325
2016,R24000,éOèdåß,1808000,880000,928000,1775000,864000,911000,231000,118000,113000,1062000,538000,524000,516000,225000,291000,13202,6806,6396,1.51,19830,10131,9699,25728,15260,10468,29325,16807,12518,8174,2923,16.9,32.2,2.9,115,1785.5,9444,2083131,1457,31891,97,9177,30400,62200,224,1632,18060,394,7084,96695,174,4083,51664,17513,16739,73,3696,49843,16212,8249,3,7,83,1255,1470,13615,682,67,3018,414,40,51,4300,2961,47153,186544,240994,14137,14812,12954,46768,10812,5468,4040,1237,1030797,681375,137879,207883,87,1523,850,403,42051,101,38296,5191,296627,71125,14259,20328,11380,11966,12617,39905,10494,27705,76848
2015,R24000,éOèdåß,1815865,883516,932349,1776805,865150,911655,233525,119471,114054,1061577,534265,527312,501046,218388,282658,13950,7153,6797,1.56,20139,10294,9845,26736,15836,10900,30954,17766,13188,8504,3125,16.6,31.3,2.7,115,1979,9018,1841135,1541,32499,91,8609,31200,62700,232,1659,18269,402,7038,97776,175,4125,52667,17852,17115,72,3708,50147,15952,8052,3,7,84,1246,1439,13657,641,58,3022,409,42,55,4241,3154,51869,205330,237974,14796,15737,13552,42181,10066,5279,3252,1499,998505,660868,162283,172225,88,1530,849,402,41785,98,38324,5165,300668,69215,24440,21362,12231,10966,14125,41703,9379,30834,66413
2014,R24000,éOèdåß,1826000,888000,937000,1795000,874000,921000,241000,123000,118000,1089000,551000,538000,495000,215000,280000,13727,7033,6694,1.45,19525,9921,9604,26337,15491,10846,29176,16627,12549,8555,3098,16.1,30.9,1.4,100,1589,9240,1748578,1597,32847,87,8368,31800,63700,246,1710,19224,405,7098,99358,176,4132,53040,17797,17011,72,3748,50583,15988,8234,3,7,85,1225,1446,13608,665,68,3044,382,43,58,4008,3228,54636,213926,239456,15928,16925,14589,41885,9734,5369,2902,1438,990991,677143,154855,156684,89,1527,856,400,39194,48,37908,5315,301337,69211,25492,21632,14394,11851,13230,41829,7253,30902,65544
2013,R24000,éOèdåß,1833000,892000,941000,1803000,878000,925000,245000,125000,120000,1108000,560000,548000,480000,208000,273000,14514,7451,7063,1.49,19690,10133,9557,26747,15673,11074,29973,16905,13068,8844,3281,16.5,33.4,1.6,86,1393.5,10881,2036822,1653,33191,87,7978,32300,64000,254,1690,19650,415,7167,100903,181,4169,53920,18382,17622,72,3764,50220,15798,8127,3,8,86,1232,1436,13643,636,55,3067,420,41,57,4006,2965,58239,240392,226860,17320,18311,15879,43102,10858,6691,2822,1316,1155599,849760,147360,154638,90,1528,861,407,39029,27,37581,5189,289603,66398,9880,23825,12118,12241,12976,44711,7861,32463,67130
2012,R24000,éOèdåß,1841000,896000,945000,1811000,882000,929000,248000,127000,121000,1128000,569000,558000,465000,200000,264000,14729,7492,7237,1.47,19210,9934,9276,27750,16386,11364,29859,17239,12620,9006,3237,15.9,31.8,1.8,102,1714,9808,1953336,1691,32813,86,7999,34200,66200,258,1779,20094,417,7152,102580,183,4175,54143,18120,17398,72,3814,50645,16424,8349,3,8,86,1220,1453,13595,692,71,2940,424,41,60,3966,3073,64012,262258,196640,17430,18418,15978,54100,9777,6102,2327,1308,1053269,777840,143347,128278,89,1523,854,419,40066,41,38646,5334,286223,62968,14168,21494,11045,10904,12900,48747,9839,32908,61250
2011,R24000,éOèdåß,1847000,900000,948000,1817000,885000,932000,251000,128000,123000,1145000,577000,567000,451000,194000,257000,15080,7742,7338,1.47,19271,10038,9233,28019,16548,11471,28987,16646,12341,8947,3264,16.1,31.3,0.9,100,1751.5,9546,1740554,1711,33153,85,7985,34900,66800,259,1726,20051,421,7150,104557,184,4171,54609,18224,17474,73,3840,50654,16074,8338,4,8,84,1226,1543,13669,691,58,3073,479,42,61,3862,3062,65474,271958,179892,18393,19465,17094,53894,9360,6115,2230,942,1020536,780054,106749,128833,89,1506,856,406,38696,40,37074,5245,299461,66165,15599,21556,10982,12931,13334,37554,13885,33453,74003
2010,R24000,éOèdåß,1854724,903398,951326,1812500,881996,930504,253174,129491,123683,1142275,573641,568634,447103,192186,254917,15262,7865,7397,1.51,18691,9674,9017,27619,16071,11548,29211,16688,12523,9396,3461,16.6,32.7,2.3,97,1623.5,9726,1988523,1795,34381,82,7756,35800,66500,259,1728,20141,423,7153,106337,184,4123,54233,17948,17211,77,3841,51359,16366,8545,4,8,103,1230,1643,13718,780,80,3083,464,44,63,3802,3129,70801,300988,155045,19464,20582,18438,58347,10084,6224,2788,1043,1075367,799400,114286,158677,89,1506,860,411,39006,36,37138,5173,287748,66932,11926,21036,9721,11918,12250,37551,10442,33981,71991
2009,R24000,éOèdåß,1864000,908000,956000,1826000,890000,936000,254000,130000,124000,1172000,589000,583000,445000,191000,254000,15614,7983,7631,1.4,17590,9154,8436,30334,18061,12273,33758,20164,13594,9720,3438,16.3,30.1,2.4,101,1524,9330,1912883,1865,34815,81,7809,36800,68300,260,1717,20786,429,7202,107830,184,4121,54707,18607,17896,78,3842,51373,16437,8566,4,8,108,1210,1706,13816,770,70,3078,506,45,71,3514,3151,76927,359680,125368,18216,19243,17441,52501,10608,5878,3859,776,1050893,765167,88134,190627,93,1498,863,422,39081,73,37245,5022,293516,65255,15212,20126,10592,13305,11749,38316,11881,35907,71172
2008,R24000,éOèdåß,1871000,912000,959000,1830000,892000,938000,258000,132000,126000,1183000,595000,588000,434000,186000,248000,15633,7882,7751,1.38,17904,9444,8460,32503,19614,12889,32706,18968,13738,9937,3402,16.3,31.8,0.9,101,1703,11212,2703510,1896,34703,74,7079,37800,70600,262,1724,21528,432,7175,108596,187,4095,54696,18220,17511,78,3858,51905,16497,8564,4,8,106,1197,1788,13860,871,64,3173,471,49,79,3645,3750,69146,244660,199027,15861,16912,15121,52085,17066,6667,8787,1339,1384387,873107,146755,348526,95,1484,859,433,39936,43,38168,5046,310209,66313,11955,21077,11648,13550,15603,46618,12657,38208,72580
2007,R24000,éOèdåß,1873000,912000,961000,1833000,893000,940000,261000,134000,127000,1190000,598000,593000,425000,181000,243000,15716,8038,7678,1.37,17141,8892,8249,33478,20210,13268,32716,18758,13958,9919,3377,16.6,32.3,3.7,100,1310,11434,2596738,1969,34208,66,5956,38400,71200,259,1698,21861,437,7161,108737,187,4094,55110,18392,17727,78,3924,52708,17031,8701,4,8,103,1173,1814,13854,811,67,3146,484,49,83,3744,3703,53275,211982,280929,16343,17257,15396,60227,17092,6685,8337,2022,1438265,895211,210038,330466,97,1486,858,437,39941,5,38276,4945,320574,67302,15190,21856,12327,13801,12146,39288,9295,36771,92598
2006,R24000,éOèdåß,1872000,910000,961000,1832000,891000,941000,264000,135000,129000,1196000,599000,596000,413000,176000,237000,15816,8027,7789,1.35,17156,8938,8218,33040,19908,13132,32430,18486,13944,9889,3508,16,31.6,1.8,109,1385.5,12616,3384573,1998,34050,63,5741,38200,69100,261,1695,22072,440,7191,109383,187,4085,55103,18577,17913,79,4002,54114,17911,9146,4,7,98,1150,1842,13941,854,65,3140,429,49,88,4058,3718,57616,225191,305243,17468,18548,16459,61362,19978,7391,10404,1946,1611450,990064,209869,401247,99,1466,853,440,39796,11,38778,5025,302937,67762,14560,22295,10727,14121,12456,41702,14803,32508,72004
2017,R25000,é†âÍåß,1413000,697000,716000,1390000,686000,705000,200000,102000,97000,856000,435000,420000,357000,159000,198000,11598,6012,5586,1.54,13082,6662,6420,24911,14386,10525,25626,14626,11000,6587,2204,14.8,31.8,0.7,148,1895,7451,1725822,506,14492,132,9143,46500,88200,147,1351,13986,226,5453,82193,107,3124,42021,14299,13890,60,2863,39681,12701,6939,3,8,62,1052,892,30219,386,1,6338,1123,26,11,2385,927,38510,152689,179958,12056,13048,11008,46476,8978,4251,2755,1961,867010,517425,197844,151024,50,1070,556,285,31225,356,31099,3915,282876,78159,13212,23036,13054,11215,11845,39276,11348,29602,52130
2016,R25000,é†âÍåß,1413000,697000,716000,1392000,686000,706000,202000,104000,98000,860000,437000,423000,350000,156000,195000,12072,6143,5929,1.56,12507,6469,6038,24656,14164,10492,25362,14555,10807,6822,2202,15.8,32.9,1.4,124,1628.5,7755,1488042,508,14213,127,8510,46500,87700,156,1410,15125,227,5388,82412,107,3117,42793,14500,14089,61,2869,39718,12884,7205,3,8,62,1048,879,29445,433,9,6303,1056,26,11,2396,921,41453,163176,169530,12630,13829,11529,44611,9200,4376,3056,1764,879124,537698,175923,165247,50,1062,558,270,29210,339,29388,3790,299756,78255,12168,22048,12619,13329,13093,44974,13693,30638,58940
2015,R25000,é†âÍåß,1412916,696941,715975,1386795,683979,702816,203450,104588,98862,857720,434079,423641,337877,150120,187757,12622,6509,6113,1.61,12507,6353,6154,24916,14374,10542,26903,15582,11321,6855,2321,15.5,31.7,1.1,144,1784,7518,1533951,514,14025,126,8330,46400,87000,160,1445,15934,227,5368,82872,107,3116,43119,14310,13912,59,2868,39755,12656,6955,3,8,64,1042,896,30620,391,5,6307,1069,26,11,2402,859,44730,174685,155507,13411,14599,12150,39003,8734,4118,2756,1838,838488,508580,184055,145033,50,1046,559,272,29160,346,29020,4006,296258,73510,9608,23393,8860,13456,10867,38472,12990,29980,75121
2014,R25000,é†âÍåß,1414000,698000,717000,1395000,688000,707000,207000,107000,101000,877000,446000,430000,332000,146000,185000,12729,6566,6163,1.53,12266,6304,5962,24554,14035,10519,25443,14544,10899,6990,2240,14.9,31,0.1,127,1449.5,7401,1484945,521,14900,127,9168,46300,86100,193,1703,18999,230,5316,83457,107,3101,43209,14411,13935,59,2872,39510,12360,6861,3,8,64,1044,909,34089,439,12,6774,1110,27,12,2421,919,46691,183427,153969,13810,14879,12333,39541,8205,4151,2565,1401,800666,513462,147651,134774,51,1035,564,262,27939,441,28849,4638,291015,72906,14126,24382,9472,11247,11664,42631,19138,27563,57887
2013,R25000,é†âÍåß,1415000,699000,717000,1395000,689000,707000,209000,107000,102000,888000,452000,436000,319000,140000,179000,13015,6680,6335,1.53,12233,6317,5916,25699,14623,11076,25842,14931,10911,7465,2329,15.1,33,0.3,126,1492,9504,1950630,529,13934,123,8030,46200,84500,193,1796,19214,231,5297,84374,107,3080,43237,14537,14138,59,2810,38838,12082,6744,3,8,66,1041,956,33818,411,11,7270,1050,27,12,2387,854,52574,214762,149456,14839,16243,13459,41095,10662,5524,2712,2394,1093962,698898,243156,149821,51,1019,558,253,26988,415,27898,4427,271287,66645,13358,21361,9054,11182,11064,42687,14059,31306,50570
2012,R25000,é†âÍåß,1414000,698000,716000,1395000,689000,706000,210000,108000,102000,899000,457000,441000,306000,134000,172000,13236,6720,6516,1.53,12221,6131,6090,26456,14998,11458,25173,14408,10765,7389,2346,14.8,33.4,0.5,135,1737.5,8551,1762910,536,14172,122,8012,52100,88000,194,1789,19674,233,5292,84910,107,3053,43221,14281,13924,58,2806,38954,12690,7137,4,8,67,1014,1029,33967,510,13,7421,1087,27,12,2345,765,59468,240056,133241,15718,16836,14039,47778,9646,4967,2608,2021,975347,624430,208918,138679,52,1017,560,252,27052,492,27329,4408,264630,68231,12180,20340,8277,11386,10997,37461,8680,27982,59096
2011,R25000,é†âÍåß,1413000,698000,715000,1393000,688000,705000,211000,109000,102000,908000,462000,446000,295000,128000,167000,13338,6863,6475,1.51,11884,6181,5703,27639,15748,11891,24525,14254,10271,7567,2341,15,32.8,-0.5,132,1800.5,8121,1596822,546,14374,123,8026,52500,88200,193,1695,19416,235,5264,86095,107,3016,43011,14227,13883,58,2784,38606,12067,6915,4,8,70,986,1020,33933,406,8,7396,1192,27,11,2244,657,60720,243513,124888,16187,16961,14374,48512,8774,4827,2207,1730,906632,611712,178580,115468,53,1004,556,234,25097,407,25269,4172,270193,69226,10503,21250,9157,10459,9928,37426,11442,30656,60146
2010,R25000,é†âÍåß,1410777,696769,714008,1376541,678723,697818,210753,108496,102257,897583,453865,443718,288788,125682,163106,13363,6897,6466,1.54,11602,5982,5620,26793,15314,11479,24477,14044,10433,7691,2466,15.3,33.9,1,132,1858,8362,1578646,557,14394,122,7872,53200,90000,192,1651,19278,236,5251,86907,107,2972,42232,13773,13409,58,2802,38706,12186,7067,4,8,78,956,1045,33661,522,26,7461,1289,27,11,2140,659,60399,253910,111404,16246,16699,14487,50301,9477,4990,2555,1777,947958,629359,181131,130622,53,995,555,236,24802,350,25329,4153,284061,69218,15260,21476,10530,10923,12437,41011,10374,32333,60500
2009,R25000,é†âÍåß,1409000,696000,713000,1384000,683000,700000,210000,109000,102000,910000,463000,448000,284000,123000,161000,13151,6725,6426,1.44,11036,5687,5349,28095,16169,11926,27011,16192,10819,7771,2470,15,30.3,1.1,121,1402,7699,1471304,562,14335,123,7785,54700,90500,192,1596,19558,235,5205,87258,107,2988,42412,14439,14019,58,2768,38126,12092,7121,4,8,86,920,1200,33640,583,17,7423,1385,27,12,1948,520,62132,288501,86739,14522,14956,13008,46502,9244,4656,3092,1230,875112,595720,125762,136522,53,975,548,241,25173,411,25466,4034,315298,70987,10033,22830,9855,13689,14334,58735,12827,33260,68749
2008,R25000,é†âÍåß,1405000,695000,710000,1379000,681000,697000,212000,109000,102000,914000,465000,449000,276000,120000,156000,13487,6966,6521,1.45,11110,5824,5286,29395,17125,12270,26520,15620,10900,8080,2427,15,32,-0.3,133,1474,9448,2257825,568,13866,120,7358,55400,93800,190,1598,20111,236,5148,87220,107,2984,41958,13746,13322,58,2797,38431,12369,7313,4,7,92,887,1236,33278,548,18,7188,1176,27,12,1978,643,53890,199457,139114,13153,13701,11759,45084,14159,5536,6007,2429,1199822,717684,232356,237960,53,961,539,245,25382,262,25900,4007,315817,75988,12328,21878,9788,12248,11209,46634,15424,34635,75686
2007,R25000,é†âÍåß,1398000,691000,707000,1372000,678000,694000,212000,109000,103000,917000,466000,451000,268000,115000,152000,13343,6855,6488,1.42,10649,5625,5024,30714,17983,12731,27684,16157,11527,7888,2495,15.2,32.8,1.7,135,1473.5,9289,2526927,569,12626,117,6564,54600,91000,188,1588,20047,237,5094,86354,107,2975,42133,13988,13499,58,2817,38676,12399,7043,4,7,97,884,1306,32892,650,28,7222,1202,27,12,2097,764,47513,185888,224530,14663,15508,13302,50188,14071,5433,6101,2481,1229317,711509,273978,240521,54,941,545,242,24993,241,25717,3925,305810,72818,12617,20981,9852,13943,11237,45153,20055,31707,67448
2006,R25000,é†âÍåß,1390000,687000,703000,1365000,674000,691000,213000,109000,103000,918000,466000,452000,258000,111000,148000,13448,7023,6425,1.41,10507,5490,5017,30650,18166,12484,27759,16244,11515,7705,2459,14.7,32.7,0.5,134,1661.5,11190,2697801,606,12564,116,6342,51900,84900,189,1536,19887,237,5006,86465,106,2907,41581,13922,13462,58,2853,39892,13211,7331,4,7,93,879,1518,32774,748,43,7312,1097,26,12,2242,787,47673,185611,225664,15322,16212,13822,49661,15972,6142,6494,3309,1400957,812117,330303,255543,53,932,545,239,24588,297,25537,3907,300765,74773,14855,22031,10271,14638,13803,36545,12323,28921,72607
2017,R26000,ãûìsï{,2599000,1242000,1357000,2551000,1219000,1331000,308000,158000,150000,1548000,766000,782000,743000,318000,424000,18521,9476,9045,1.31,26430,13288,13142,53456,28295,25161,55118,29882,25236,11875,4104,16,33.6,1.5,103,1469.5,10068,2563327,921,36189,269,27038,104000,429400,215,2315,24913,395,8538,128594,198,5251,67723,23014,22298,106,5282,71596,23074,15189,13,34,226,10042,3851,141336,1807,235,31360,3894,64,51,15715,4601,69303,293324,396854,19860,20077,16225,95624,15096,4568,6265,4220,1215671,528949,370979,311467,158,2459,1308,466,53294,227,52808,7287,249704,75471,13970,20385,9202,8345,12950,29387,8971,23846,47178
2016,R26000,ãûìsï{,2605000,1246000,1359000,2559000,1224000,1335000,312000,160000,152000,1560000,772000,789000,733000,314000,419000,19327,9863,9464,1.34,25830,13117,12713,53759,28732,25027,54509,29724,24785,12143,4222,17.1,34.7,2,112,1840,10345,2365619,906,35650,239,25720,102900,374500,217,2329,25774,399,8622,130041,202,5342,69418,23646,22886,106,5288,72375,23480,15542,13,34,241,9946,4011,141385,1847,232,31540,4046,65,51,15546,4706,73899,320304,368283,20884,20917,16980,90189,16223,4630,6435,5054,1299036,536216,453369,303370,159,2471,1313,454,50886,64,51183,7172,274853,79319,17441,21800,9101,11171,11469,29498,15204,29586,50264
2015,R26000,ãûìsï{,2610353,1248972,1361381,2533645,1213342,1320303,313866,160780,153086,1539540,757513,782027,703419,302287,401132,19662,10228,9434,1.35,25495,12905,12590,55488,29453,26035,55767,30592,25175,12458,4434,16.6,33.6,2.2,123,2042.5,10439,2329090,899,33595,219,23935,102400,339400,220,2361,26924,404,8633,131247,202,5381,70853,24095,23340,105,5280,72131,22813,15151,14,34,249,10027,4107,139709,1896,209,31093,4039,66,52,15541,4504,81204,352367,357733,23206,23285,18934,77865,17490,4663,6569,5963,1417723,544942,543885,312690,161,2452,1301,448,49963,6,50411,7151,282808,80511,11688,25067,9489,11012,11062,35950,14521,31827,51681
2014,R26000,ãûìsï{,2616000,1252000,1363000,2572000,1232000,1340000,322000,165000,157000,1586000,785000,801000,701000,300000,401000,19583,10025,9558,1.24,25507,12872,12635,53417,28776,24641,54591,29782,24809,12671,4462,16.1,32.6,0.7,104,1377,10057,2353771,909,33596,216,23650,102000,322300,226,2344,27936,413,8613,132437,201,5369,71783,24120,23364,104,5245,72147,22966,15241,14,34,259,9885,4273,140475,2011,207,30572,4139,65,53,15264,4394,90724,381107,346491,24284,23997,19438,77284,16826,4382,7037,5331,1359018,514455,475410,363238,162,2459,1309,448,48853,11,50883,7492,304913,83488,12514,24397,10945,14445,11576,40989,17364,29344,59851
2013,R26000,ãûìsï{,2622000,1256000,1366000,2578000,1236000,1342000,326000,167000,159000,1616000,799000,816000,676000,288000,387000,20106,10388,9718,1.26,25332,12822,12510,53307,28507,24800,55280,30097,25183,12746,4581,16.2,35.1,0.4,91,1450.5,11736,2995062,919,33028,207,22820,101700,313600,229,2336,28817,420,8624,133804,203,5429,72721,24543,23740,104,5192,71047,22250,14591,15,33,256,9681,4334,140617,1949,217,30491,4144,66,56,15127,5074,96440,416688,336478,26424,26176,21237,77640,19582,5453,7225,6695,1652990,639376,637552,354506,161,2472,1317,441,48413,109,50684,7413,309384,79652,13732,24698,11178,11837,14004,36100,13557,34170,70455
2012,R26000,ãûìsï{,2628000,1260000,1368000,2585000,1240000,1345000,330000,169000,161000,1646000,814000,832000,649000,276000,373000,20111,10442,9669,1.23,25416,12828,12588,53821,28617,25204,54239,29513,24726,13189,4646,15.8,34.5,0.6,112,1562,10229,2185514,936,32522,200,22254,110600,321200,229,2323,29602,428,8744,135428,204,5391,72382,23751,23045,104,5254,71903,23240,15060,15,33,273,9500,4368,139701,2041,216,30596,4163,64,56,14901,4981,104912,455680,320005,26950,26243,21355,90777,16036,4742,5713,5349,1315575,556111,474942,270850,161,2484,1319,452,48676,152,50663,7339,271914,73166,18265,23172,10640,12687,12496,30331,8840,29127,53191
2011,R26000,ãûìsï{,2633000,1263000,1370000,2590000,1243000,1347000,333000,170000,163000,1674000,828000,846000,624000,264000,360000,20707,10535,10172,1.25,24733,12540,12193,53997,28802,25195,53960,29371,24589,12900,4713,16,33.6,-0.7,100,1650.5,10274,2210449,946,32045,200,21210,112100,323700,228,2276,30099,432,8753,137409,203,5367,72557,24277,23532,105,5184,71092,22220,14744,16,32,319,9251,5048,139276,2544,390,30601,4248,65,56,14882,5158,110757,467963,275478,27702,26698,21918,92081,15036,4572,5080,5328,1248533,537643,474132,232082,163,2481,1313,465,49612,198,51279,7251,287972,76455,17421,21188,9831,12573,11737,35929,12346,31660,58832
2010,R26000,ãûìsï{,2636092,1265387,1370705,2557625,1227067,1330558,334444,170924,163520,1653812,813740,840072,605709,257238,348471,21234,10996,10238,1.28,23714,12038,11676,53014,28584,24430,54954,29934,25020,13664,4964,16.4,35.2,0.9,106,2061,10313,2186464,937,31229,184,20455,114100,330100,229,2283,30377,441,8751,139582,204,5267,71378,23421,22676,105,5210,71408,22529,14891,16,31,350,9123,5754,138737,2723,407,30707,4507,65,57,14274,5243,113067,492597,236851,26738,26109,21960,97310,14604,4681,5477,4409,1207860,554031,409000,242218,163,2532,1320,443,45997,380,46728,6673,284934,75115,16201,21696,8934,11726,13077,28832,15982,30937,62434
2009,R26000,ãûìsï{,2637000,1266000,1371000,2594000,1246000,1348000,346000,177000,169000,1670000,824000,847000,606000,257000,349000,21058,10906,10152,1.2,23191,12013,11178,54863,29832,25031,58464,31998,26466,13640,5054,16.1,32.1,1.7,109,1457.5,9514,2085524,961,31225,180,20065,118100,343700,231,2257,30933,445,8723,140729,204,5224,72024,24405,23480,105,5199,70272,22209,14858,17,31,354,8985,6140,137525,2887,450,29498,4390,64,59,13643,5657,119131,527674,220294,26901,25792,22228,93947,14715,4541,6146,3869,1147963,535151,352325,255080,164,2536,1316,436,45303,278,46487,6239,278307,76026,10616,21360,11038,11527,12903,33953,15418,28334,57133
2008,R26000,ãûìsï{,2640000,1268000,1372000,2596000,1248000,1349000,347000,178000,170000,1694000,836000,858000,588000,249000,339000,21842,11152,10690,1.22,23015,11940,11075,56650,30680,25970,59919,32962,26957,14239,4877,16,34,0.2,115,1430.5,10762,2282507,977,31093,178,19655,117400,313000,230,2226,31776,445,8714,141953,204,5130,70859,23186,22353,106,5245,70789,22446,14763,17,31,366,8761,6665,137453,3174,480,30572,4341,64,60,15027,5696,108551,433445,284099,26574,26026,22248,88259,18599,5002,7636,5769,1445377,600813,536654,299757,165,2516,1318,486,49533,145,50146,6897,264268,74750,11778,21605,8138,10900,10978,27750,13521,28297,56550
