5,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,一般世帯総数（住居の種類・住宅の所有の関係）,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,一般世帯人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,1世帯当たり人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」
3497,"13122","006004","3","","","","東京都","葛飾区","堀切","４丁目",1580,1570,1549,991,-,540,18,21,10,-,3420,3404,3369,2490,-,851,28,35,16,-,2.1645569620,2.1681528662,2.1749515817,2.5126135217,-,1.5759259259,1.5555555556,1.6666666667,1.6000000000,-
3498,"13122","006005","3","","","","東京都","葛飾区","堀切","５丁目",1373,1358,1338,749,-,573,16,20,15,-,2715,2686,2648,1818,-,802,28,38,29,-,1.9774217043,1.9779086892,1.9790732436,2.4272363151,-,1.3996509599,1.7500000000,1.9000000000,1.9333333333,-
3499,"13122","006006","3","","","","東京都","葛飾区","堀切","６丁目",1143,1141,1127,758,-,364,5,14,2,-,2462,2457,2419,1897,-,511,11,38,5,-,2.1539807524,2.1533742331,2.1464063886,2.5026385224,-,1.4038461538,2.2000000000,2.7142857143,2.5000000000,-
3500,"13122","006007","3","","","","東京都","葛飾区","堀切","７丁目",1246,1241,1222,639,83,489,11,19,5,-,2850,2842,2800,1744,176,859,21,42,8,-,2.2873194222,2.2900886382,2.2913256956,2.7292644757,2.1204819277,1.7566462168,1.9090909091,2.2105263158,1.6000000000,-
3501,"13122","006008","3","","","","東京都","葛飾区","堀切","８丁目",1195,1192,1183,580,170,353,80,9,3,-,2510,2507,2485,1494,379,526,86,22,3,-,2.1004184100,2.1031879195,2.1005917160,2.5758620690,2.2294117647,1.4900849858,1.0750000000,2.4444444444,1.0000000000,-
3502,"13122","0070","2","","","","東京都","葛飾区","東堀切","",3305,3280,3257,1752,529,946,30,23,25,-,7696,7644,7598,4516,1149,1856,77,46,52,-,2.3285930408,2.3304878049,2.3328216150,2.5776255708,2.1720226843,1.9619450317,2.5666666667,2.0000000000,2.0800000000,-
3503,"13122","007001","3","","","","東京都","葛飾区","東堀切","１丁目",1083,1076,1065,600,83,374,8,11,7,-,2373,2361,2334,1483,190,644,17,27,12,-,2.1911357341,2.1942379182,2.1915492958,2.4716666667,2.2891566265,1.7219251337,2.1250000000,2.4545454545,1.7142857143,-
3504,"13122","007002","3","","","","東京都","葛飾区","東堀切","２丁目",1390,1385,1376,711,308,344,13,9,5,-,3330,3313,3300,1910,649,705,36,13,17,-,2.3956834532,2.3920577617,2.3982558140,2.6863572433,2.1071428571,2.0494186047,2.7692307692,1.4444444444,3.4000000000,-
3505,"13122","007003","3","","","","東京都","葛飾区","東堀切","３丁目",832,819,816,441,138,228,9,3,13,-,1993,1970,1964,1123,310,507,24,6,23,-,2.3954326923,2.4053724054,2.4068627451,2.5464852608,2.2463768116,2.2236842105,2.6666666667,2.0000000000,1.7692307692,-
3506,"13122","0080","2","","","","東京都","葛飾区","小菅","",5809,5714,5658,2066,137,2090,1365,56,95,-,11142,11027,10926,5070,333,3034,2489,101,115,-,1.9180581856,1.9298214911,1.9310710498,2.4540174250,2.4306569343,1.4516746411,1.8234432234,1.8035714286,1.2105263158,-
3507,"13122","008001","3","","","","東京都","葛飾区","小菅","１丁目",2051,1986,1970,505,21,275,1169,16,65,-,4012,3935,3906,1220,55,376,2255,29,77,-,1.9561189664,1.9813695871,1.9827411168,2.4158415842,2.6190476190,1.3672727273,1.9289991446,1.8125000000,1.1846153846,-
3508,"13122","008002","3","","","","東京都","葛飾区","小菅","２丁目",1330,1310,1293,699,-,446,148,17,20,-,2728,2705,2667,1788,-,715,164,38,23,-,2.0511278195,2.0648854962,2.0626450116,2.5579399142,-,1.6031390135,1.1081081081,2.2352941176,1.1500000000,-
3509,"13122","008003","3","","","","東京都","葛飾区","小菅","３丁目",891,888,875,436,53,376,10,13,3,-,1811,1806,1786,1051,101,624,10,20,5,-,2.0325476992,2.0337837838,2.0411428571,2.4105504587,1.9056603774,1.6595744681,1.0000000000,1.5384615385,1.6666666667,-
3510,"13122","008004","3","","","","東京都","葛飾区","小菅","４丁目",1537,1530,1520,426,63,993,38,10,7,-,2591,2581,2567,1011,177,1319,60,14,10,-,1.6857514639,1.6869281046,1.6888157895,2.3732394366,2.8095238095,1.3282980866,1.5789473684,1.4000000000,1.4285714286,-
3511,"13122","0090","2","","","","東京都","葛飾区","お花茶屋","",3079,3005,2976,1496,231,1225,24,29,74,-,6496,6410,6344,3884,537,1884,39,66,86,-,2.1097759013,2.1331114809,2.1317204301,2.5962566845,2.3246753247,1.5379591837,1.6250000000,2.2758620690,1.1621621622,-
3512,"13122","009001","3","","","","東京都","葛飾区","お花茶屋","１丁目",1076,1014,1005,497,-,494,14,9,62,-,1929,1863,1844,1175,-,647,22,19,66,-,1.7927509294,1.8372781065,1.8348258706,2.3641851107,-,1.3097165992,1.5714285714,2.1111111111,1.0645161290,-
3513,"13122","009002","3","","","","東京都","葛飾区","お花茶屋","２丁目",761,756,750,355,-,391,4,6,5,-,1593,1580,1568,940,-,624,4,12,13,-,2.0932982917,2.0899470899,2.0906666667,2.6478873239,-,1.5959079284,1.0000000000,2.0000000000,2.6000000000,-
3514,"13122","009003","3","","","","東京都","葛飾区","お花茶屋","３丁目",1242,1235,1221,644,231,340,6,14,7,-,2974,2967,2932,1769,537,613,13,35,7,-,2.3945249597,2.4024291498,2.4013104013,2.7468944099,2.3246753247,1.8029411765,2.1666666667,2.5000000000,1.0000000000,-
3515,"13122","0100","2","","","","東京都","葛飾区","白鳥","",5323,5225,5192,3279,594,1209,110,33,98,-,12101,11966,11899,8177,1341,2119,262,67,135,-,2.2733421003,2.2901435407,2.2917950693,2.4937480939,2.2575757576,1.7526881720,2.3818181818,2.0303030303,1.3775510204,-
3516,"13122","010001","3","","","","東京都","葛飾区","白鳥","１丁目",580,577,573,324,136,110,3,4,3,-,1411,1405,1396,851,329,206,10,9,6,-,2.4327586207,2.4350086655,2.4363001745,2.6265432099,2.4191176471,1.8727272727,3.3333333333,2.2500000000,2.0000000000,-
3517,"13122","010002","3","","","","東京都","葛飾区","白鳥","２丁目",1440,1434,1426,1042,-,365,19,8,6,-,3270,3261,3247,2560,-,645,42,14,9,-,2.2708333333,2.2740585774,2.2769985975,2.4568138196,-,1.7671232877,2.2105263158,1.7500000000,1.5000000000,-
3518,"13122","010003","3","","","","東京都","葛飾区","白鳥","３丁目",1471,1413,1399,664,232,466,37,14,58,-,3336,3248,3218,1835,523,792,68,30,88,-,2.2678450034,2.2986553432,2.3002144389,2.7635542169,2.2543103448,1.6995708155,1.8378378378,2.1428571429,1.5172413793,-
3519,"13122","010004","3","","","","東京都","葛飾区","白鳥","４丁目",1832,1801,1794,1249,226,268,51,7,31,-,4084,4052,4038,2931,489,476,142,14,32,-,2.2292576419,2.2498611882,2.2508361204,2.3466773419,2.1637168142,1.7761194030,2.7843137255,2.0000000000,1.0322580645,-
3520,"13122","0110","2","","","","東京都","葛飾区","亀有","",12167,12126,12004,5416,1468,4880,240,122,41,-,25138,25055,24828,13613,3028,7666,521,227,83,-,2.0660803814,2.0662213426,2.0683105631,2.5134785820,2.0626702997,1.5709016393,2.1708333333,1.8606557377,2.0243902439,-
3521,"13122","011001","3","","","","東京都","葛飾区","亀有","１丁目",1875,1869,1865,617,894,336,18,4,6,-,4069,4061,4055,1600,1888,517,50,6,8,-,2.1701333333,2.1728196897,2.1742627346,2.5931928687,2.1118568233,1.5386904762,2.7777777778,1.5000000000,1.3333333333,-
3522,"13122","011002","3","","","","東京都","葛飾区","亀有","２丁目",2952,2942,2905,1292,347,1235,31,37,10,-,5875,5846,5771,3164,719,1817,71,75,29,-,1.9901761518,1.9870836166,1.9865748709,2.4489164087,2.0720461095,1.4712550607,2.2903225806,2.0270270270,2.9000000000,-
3523,"13122","011003","3","","","","東京都","葛飾区","亀有","３丁目",3246,3235,3208,1680,-,1480,48,27,11,-,6952,6927,6873,4264,-,2483,126,54,25,-,2.1417128774,2.1412673879,2.1424563591,2.5380952381,-,1.6777027027,2.6250000000,2.0000000000,2.2727272727,-
3524,"13122","011004","3","","","","東京都","葛飾区","亀有","４丁目",1661,1656,1635,671,182,730,52,21,5,-,3542,3534,3493,1748,348,1249,148,41,8,-,2.1324503311,2.1340579710,2.1363914373,2.6050670641,1.9120879121,1.7109589041,2.8461538462,1.9523809524,1.6000000000,-
3525,"13122","011005","3","","","","東京都","葛飾区","亀有","５丁目",2433,2424,2391,1156,45,1099,91,33,9,-,4700,4687,4636,2837,73,1600,126,51,13,-,1.9317714755,1.9335808581,1.9389376830,2.4541522491,1.6222222222,1.4558689718,1.3846153846,1.5454545455,1.4444444444,-
3526,"13122","0120","2","","","","東京都","葛飾区","西亀有","",6435,6346,6282,2542,1056,2543,141,64,89,-,13956,13846,13731,6901,2123,4505,202,115,110,-,2.1687645688,2.1818468327,2.1857688634,2.7147915028,2.0104166667,1.7715296893,1.4326241135,1.7968750000,1.2359550562,-
3527,"13122","012001","3","","","","東京都","葛飾区","西亀有","１丁目",1330,1303,1293,595,285,400,13,10,27,-,3053,3026,3008,1665,458,851,34,18,27,-,2.2954887218,2.3223330775,2.3263727765,2.7983193277,1.6070175439,2.1275000000,2.6153846154,1.8000000000,1.0000000000,-
3528,"13122","012002","3","","","","東京都","葛飾区","西亀有","２丁目",2292,2241,2217,668,600,841,108,24,51,-,4736,4679,4636,1837,1293,1378,128,43,57,-,2.0663176265,2.0879071843,2.0911141182,2.7500000000,2.1550000000,1.6385255648,1.1851851852,1.7916666667,1.1176470588,-
3529,"13122","012003","3","","","","東京都","葛飾区","西亀有","３丁目",1703,1700,1680,751,117,796,16,20,3,-,3860,3854,3816,2038,262,1482,34,38,6,-,2.2665883735,2.2670588235,2.2714285714,2.7137150466,2.2393162393,1.8618090452,2.1250000000,1.9000000000,2.0000000000,-
3530,"13122","012004","3","","","","東京都","葛飾区","西亀有","４丁目",1110,1102,1092,528,54,506,4,10,8,-,2307,2287,2271,1361,110,794,6,16,20,-,2.0783783784,2.0753176044,2.0796703297,2.5776515152,2.0370370370,1.5691699605,1.5000000000,1.6000000000,2.5000000000,-
3531,"13122","0130","2","","","","東京都","葛飾区","青戸","",12468,12373,12249,6143,2064,3765,277,124,95,-,26008,25874,25653,15417,4068,5681,487,221,134,-,2.0859801091,2.0911662491,2.0942934117,2.5096858213,1.9709302326,1.5088977424,1.7581227437,1.7822580645,1.4105263158,-
3532,"13122","013001","3","","","","東京都","葛飾区","青戸","１丁目",795,777,772,338,-,425,9,5,18,-,1447,1429,1421,845,-,566,10,8,18,-,1.8201257862,1.8391248391,1.8406735751,2.5000000000,-,1.3317647059,1.1111111111,1.6000000000,1.0000000000,-
3533,"13122","013002","3","","","","東京都","葛飾区","青戸","２丁目",737,730,722,351,-,361,10,8,7,-,1416,1408,1393,853,-,520,20,15,8,-,1.9213025780,1.9287671233,1.9293628809,2.4301994302,-,1.4404432133,2.0000000000,1.8750000000,1.1428571429,-
3534,"13122","013003","3","","","","東京都","葛飾区","青戸","３丁目",2711,2709,2686,527,1641,460,58,23,2,-,5296,5293,5248,1281,3193,654,120,45,3,-,1.9535226854,1.9538575120,1.9538346984,2.4307400380,1.9457647776,1.4217391304,2.0689655172,1.9565217391,1.5000000000,-
3535,"13122","013004","3","","","","東京都","葛飾区","青戸","４丁目",1497,1488,1481,723,341,390,27,7,9,-,3274,3259,3249,1837,694,646,72,10,15,-,2.1870407482,2.1901881720,2.1937879811,2.5408022130,2.0351906158,1.6564102564,2.6666666667,1.4285714286,1.6666666667,-
3536,"13122","013005","3","","","","東京都","葛飾区","青戸","５丁目",1444,1441,1423,802,-,594,27,18,3,-,2951,2944,2913,1976,-,887,50,31,7,-,2.0436288089,2.0430256766,2.0470836261,2.4638403990,-,1.4932659933,1.8518518519,1.7222222222,2.3333333333,-
3537,"13122","013006","3","","","","東京都","葛飾区","青戸","６丁目",1662,1646,1626,894,-,698,34,20,16,-,3261,3234,3200,2162,-,985,53,34,27,-,1.9620938628,1.9647630620,1.9680196802,2.4183445190,-,1.4111747851,1.5588235294,1.7000000000,1.6875000000,-
3538,"13122","013007","3","","","","東京都","葛飾区","青戸","７丁目",2345,2332,2311,1752,25,456,78,21,13,-,5696,5670,5634,4664,47,808,115,36,26,-,2.4289978678,2.4313893654,2.4379056685,2.6621004566,1.8800000000,1.7719298246,1.4743589744,1.7142857143,2.0000000000,-
3539,"13122","013008","3","","","","東京都","葛飾区","青戸","８丁目",1277,1250,1228,756,57,381,34,22,27,-,2667,2637,2595,1799,134,615,47,42,30,-,2.0884886453,2.1096000000,2.1131921824,2.3796296296,2.3508771930,1.6141732283,1.3823529412,1.9090909091,1.1111111111,-
3540,"13122","0140","2","","","","東京都","葛飾区","新小岩","",8502,8475,8383,3692,11,4496,184,92,27,-,15152,15093,14924,8500,16,6142,266,169,59,-,1.7821689014,1.7808849558,1.7802695932,2.3022751896,1.4545454545,1.3661032028,1.4456521739,1.8369565217,2.1851851852,-
3541,"13122","014001","3","","","","東京都","葛飾区","新小岩","１丁目",2013,2007,1989,933,11,1001,44,18,6,-,3605,3593,3557,2066,16,1386,89,36,12,-,1.7908594138,1.7902341804,1.7883358472,2.2143622722,1.4545454545,1.3846153846,2.0227272727,2.0000000000,2.0000000000,-
3542,"13122","014002","3","","","","東京都","葛飾区","新小岩","２丁目",2315,2307,2286,906,-,1332,48,21,8,-,3904,3890,3854,1986,-,1802,66,36,14,-,1.6863930886,1.6861725184,1.6859142607,2.1920529801,-,1.3528528529,1.3750000000,1.7142857143,1.7500000000,-
3543,"13122","014003","3","","","","東京都","葛飾区","新小岩","３丁目",2051,2046,2022,947,-,1006,69,24,5,-,3857,3849,3805,2335,-,1385,85,44,8,-,1.8805460751,1.8812316716,1.8818001978,2.4656810982,-,1.3767395626,1.2318840580,1.8333333333,1.6000000000,-
3544,"13122","014004","3","","","","東京都","葛飾区","新小岩","４丁目",2123,2115,2086,906,-,1157,23,29,8,-,3786,3761,3708,2113,-,1569,26,53,25,-,1.7833254828,1.7782505910,1.7775647172,2.3322295806,-,1.3560933449,1.1304347826,1.8275862069,3.1250000000,-
3545,"13122","0150","2","","","","東京都","葛飾区","東新小岩","",11639,11571,11479,5978,996,4341,164,92,68,-,24897,24779,24610,15134,2245,6891,340,169,118,-,2.1391012974,2.1414743756,2.1439149752,2.5316159251,2.2540160643,1.5874222529,2.0731707317,1.8369565217,1.7352941176,-
3546,"13122","015001","3","","","","東京都","葛飾区","東新小岩","１丁目",1701,1690,1684,1169,-,493,22,6,11,-,3639,3617,3606,2845,-,714,47,11,22,-,2.1393298060,2.1402366864,2.1413301663,2.4337040205,-,1.4482758621,2.1363636364,1.8333333333,2.0000000000,-
3547,"13122","015002","3","","","","東京都","葛飾区","東新小岩","２丁目",1281,1273,1269,735,217,309,8,4,8,-,2994,2981,2977,2009,523,429,16,4,13,-,2.3372365340,2.3417124902,2.3459416864,2.7333333333,2.4101382488,1.3883495146,2.0000000000,1.0000000000,1.6250000000,-
3548,"13122","015003","3","","","","東京都","葛飾区","東新小岩","３丁目",1572,1565,1556,495,553,474,34,9,7,-,2958,2948,2937,1072,1063,732,70,11,10,-,1.8816793893,1.8837060703,1.8875321337,2.1656565657,1.9222423146,1.5443037975,2.0588235294,1.2222222222,1.4285714286,-
3549,"13122","015004","3","","","","東京都","葛飾区","東新小岩","４丁目",1013,998,986,515,-,460,11,12,15,-,2201,2185,2160,1351,-,786,23,25,16,-,2.1727541955,2.1893787575,2.1906693712,2.6233009709,-,1.7086956522,2.0909090909,2.0833333333,1.0666666667,-
3550,"13122","015005","3","","","","東京都","葛飾区","東新小岩","５丁目",1631,1631,1616,747,-,839,30,15,-,-,3253,3253,3222,1861,-,1308,53,31,-,-,1.9944819129,1.9944819129,1.9938118812,2.4912985274,-,1.5589988081,1.7666666667,2.0666666667,-,-
3551,"13122","015006","3","","","","東京都","葛飾区","東新小岩","６丁目",1404,1395,1385,645,226,502,12,10,9,-,3046,3029,3017,1559,659,779,20,12,17,-,2.1695156695,2.1713261649,2.1783393502,2.4170542636,2.9159292035,1.5517928287,1.6666666667,1.2000000000,1.8888888889,-
3552,"13122","015007","3","","","","東京都","葛飾区","東新小岩","７丁目",1538,1535,1519,809,-,698,12,16,3,-,3225,3214,3183,2078,-,1079,26,31,11,-,2.0968790637,2.0938110749,2.0954575379,2.5686032138,-,1.5458452722,2.1666666667,1.9375000000,3.6666666667,-
3553,"13122","015008","3","","","","東京都","葛飾区","東新小岩","８丁目",1499,1484,1464,863,-,566,35,20,15,-,3581,3552,3508,2359,-,1064,85,44,29,-,2.3889259506,2.3935309973,2.3961748634,2.7334878331,-,1.8798586572,2.4285714286,2.2000000000,1.9333333333,-
3554,"13122","0160","2","","","","東京都","葛飾区","西新小岩","",7636,7580,7479,3620,1415,2234,210,101,56,-,16038,15956,15796,8893,2970,3569,364,160,82,-,2.1003143007,2.1050131926,2.1120470651,2.4566298343,2.0989399293,1.5975828111,1.7333333333,1.5841584158,1.4642857143,-
3555,"13122","016001","3","","","","東京都","葛飾区","西新小岩","１丁目",1342,1341,1337,282,858,187,10,4,1,-,2695,2694,2689,708,1709,256,16,5,1,-,2.0081967213,2.0089485459,2.0112191473,2.5106382979,1.9918414918,1.3689839572,1.6000000000,1.2500000000,1.0000000000,-
3556,"13122","016002","3","","","","東京都","葛飾区","西新小岩","２丁目",429,412,373,-,369,1,3,39,17,-,963,946,907,-,899,1,7,39,17,-,2.2447552448,2.2961165049,2.4316353887,-,2.4363143631,1.0000000000,2.3333333333,1.0000000000,1.0000000000,-
3557,"13122","016003","3","","","","東京都","葛飾区","西新小岩","３丁目",1539,1520,1501,978,180,323,20,19,19,-,3423,3391,3350,2417,340,545,48,41,32,-,2.2241715400,2.2309210526,2.2318454364,2.4713701431,1.8888888889,1.6873065015,2.4000000000,2.1578947368,1.6842105263,-
3558,"13122","016004","3","","","","東京都","葛飾区","西新小岩","４丁目",2717,2708,2682,1346,8,1182,146,26,9,-,5469,5456,5411,3234,22,1927,228,45,13,-,2.0128818550,2.0147710487,2.0175242356,2.4026745914,2.7500000000,1.6302876481,1.5616438356,1.7307692308,1.4444444444,-
3559,"13122","016005","3","","","","東京都","葛飾区","西新小岩","５丁目",1609,1599,1586,1014,-,541,31,13,10,-,3488,3469,3439,2534,-,840,65,30,19,-,2.1678060907,2.1694809256,2.1683480454,2.4990138067,-,1.5526802218,2.0967741935,2.3076923077,1.9000000000,-
3560,"13122","0170","2","","","","東京都","葛飾区","奥戸","",8718,8628,8512,5218,441,2701,152,116,90,-,20266,20110,19876,13800,807,4951,318,234,156,-,2.3246157376,2.3307834956,2.3350563910,2.6446914527,1.8299319728,1.8330248056,2.0921052632,2.0172413793,1.7333333333,-
3561,"13122","017001","3","","","","東京都","葛飾区","奥戸","１丁目",848,836,827,552,68,177,30,9,12,-,2098,2085,2066,1517,169,315,65,19,13,-,2.4740566038,2.4940191388,2.4981862152,2.7481884058,2.4852941176,1.7796610169,2.1666666667,2.1111111111,1.0833333333,-
3562,"13122","017002","3","","","","東京都","葛飾区","奥戸","２丁目",2133,2104,2079,1513,97,443,26,25,29,-,4834,4783,4728,3779,206,687,56,55,51,-,2.2662916081,2.2732889734,2.2741702742,2.4976867151,2.1237113402,1.5507900677,2.1538461538,2.2000000000,1.7586206897,-
3563,"13122","017003","3","","","","東京都","葛飾区","奥戸","３丁目",1228,1223,1198,776,20,389,13,25,5,-,2891,2878,2838,2058,39,714,27,40,13,-,2.3542345277,2.3532297629,2.3689482471,2.6520618557,1.9500000000,1.8354755784,2.0769230769,1.6000000000,2.6000000000,-
3564,"13122","017004","3","","","","東京都","葛飾区","奥戸","４丁目",921,905,895,497,-,384,14,10,16,-,2209,2187,2168,1305,-,835,28,19,22,-,2.3984799131,2.4165745856,2.4223463687,2.6257545272,-,2.1744791667,2.0000000000,1.9000000000,1.3750000000,-
3565,"13122","017005","3","","","","東京都","葛飾区","奥戸","５丁目",916,912,900,341,256,290,13,12,4,-,1987,1979,1949,915,393,610,31,30,8,-,2.1692139738,2.1699561404,2.1655555556,2.6832844575,1.5351562500,2.1034482759,2.3846153846,2.5000000000,2.0000000000,-
3566,"13122","017006","3","","","","東京都","葛飾区","奥戸","６丁目",798,792,782,467,-,297,18,10,6,-,1838,1821,1799,1219,-,535,45,22,17,-,2.3032581454,2.2992424242,2.3005115090,2.6102783726,-,1.8013468013,2.5000000000,2.2000000000,2.8333333333,-
3567,"13122","017007","3","","","","東京都","葛飾区","奥戸","７丁目",664,663,657,439,-,206,12,6,1,-,1689,1685,1670,1244,-,397,29,15,4,-,2.5436746988,2.5414781297,2.5418569254,2.8337129841,-,1.9271844660,2.4166666667,2.5000000000,4.0000000000,-
3568,"13122","017008","3","","","","東京都","葛飾区","奥戸","８丁目",610,598,588,343,-,225,20,10,12,-,1477,1455,1436,1033,-,376,27,19,22,-,2.4213114754,2.4331103679,2.4421768707,3.0116618076,-,1.6711111111,1.3500000000,1.9000000000,1.8333333333,-
3569,"13122","017009","3","","","","東京都","葛飾区","奥戸","９丁目",600,595,586,290,-,290,6,9,5,-,1243,1237,1222,730,-,482,10,15,6,-,2.0716666667,2.0789915966,2.0853242321,2.5172413793,-,1.6620689655,1.6666666667,1.6666666667,1.2000000000,-
3570,"13122","0180","2","","","","東京都","葛飾区","高砂","",9366,9323,9222,4471,1034,3495,222,101,43,-,19100,19028,18830,11166,1907,5325,432,198,72,-,2.0392910527,2.0409739354,2.0418564303,2.4974278685,1.8442940039,1.5236051502,1.9459459459,1.9603960396,1.6744186047,-
3571,"13122","018001","3","","","","東京都","葛飾区","高砂","１丁目",1137,1128,1116,548,127,397,44,12,9,-,2381,2368,2341,1443,177,655,66,27,13,-,2.0941072999,2.0992907801,2.0976702509,2.6332116788,1.3937007874,1.6498740554,1.5000000000,2.2500000000,1.4444444444,-
3572,"13122","018002","3","","","","東京都","葛飾区","高砂","２丁目",1381,1377,1362,666,-,655,41,15,4,-,2734,2726,2704,1604,-,994,106,22,8,-,1.9797248371,1.9796659405,1.9853157122,2.4084084084,-,1.5175572519,2.5853658537,1.4666666667,2.0000000000,-
3573,"13122","018003","3","","","","東京都","葛飾区","高砂","３丁目",1837,1825,1806,965,48,765,28,19,12,-,3734,3714,3672,2318,123,1178,53,42,20,-,2.0326619488,2.0350684932,2.0332225914,2.4020725389,2.5625000000,1.5398692810,1.8928571429,2.2105263158,1.6666666667,-
3574,"13122","018004","3","","","","東京都","葛飾区","高砂","４丁目",952,951,951,59,859,33,-,-,1,-,1794,1792,1792,133,1607,52,-,-,2,-,1.8844537815,1.8843322818,1.8843322818,2.2542372881,1.8707799767,1.5757575758,-,-,2.0000000000,-
3575,"13122","018005","3","","","","東京都","葛飾区","高砂","５丁目",1229,1221,1212,697,-,508,7,9,8,-,2446,2438,2425,1711,-,703,11,13,8,-,1.9902359642,1.9967239967,2.0008250825,2.4548063128,-,1.3838582677,1.5714285714,1.4444444444,1.0000000000,-
3576,"13122","018006","3","","","","東京都","葛飾区","高砂","６丁目",655,654,645,357,-,271,17,9,1,-,1489,1486,1458,956,-,471,31,28,3,-,2.2732824427,2.2721712538,2.2604651163,2.6778711485,-,1.7380073801,1.8235294118,3.1111111111,3.0000000000,-
3577,"13122","018007","3","","","","東京都","葛飾区","高砂","７丁目",1179,1177,1157,544,-,549,64,20,2,-,2446,2441,2403,1416,-,847,140,38,5,-,2.0746395250,2.0739167375,2.0769230769,2.6029411765,-,1.5428051002,2.1875000000,1.9000000000,2.5000000000,-
3578,"13122","018008","3","","","","東京都","葛飾区","高砂","８丁目",996,990,973,635,-,317,21,17,6,-,2076,2063,2035,1585,-,425,25,28,13,-,2.0843373494,2.0838383838,2.0914696814,2.4960629921,-,1.3406940063,1.1904761905,1.6470588235,2.1666666667,-
3579,"13122","0190","2","","","","東京都","葛飾区","鎌倉","",5547,5521,5463,3461,228,1675,99,58,26,-,12368,12319,12218,8812,455,2727,224,101,49,-,2.2296736975,2.2312986778,2.2365000915,2.5460849465,1.9956140351,1.6280597015,2.2626262626,1.7413793103,1.8846153846,-
3580,"13122","019001","3","","","","東京都","葛飾区","鎌倉","１丁目",1278,1273,1259,635,65,525,34,14,5,-,2698,2687,2661,1545,134,908,74,26,11,-,2.1111111111,2.1107619796,2.1135822081,2.4330708661,2.0615384615,1.7295238095,2.1764705882,1.8571428571,2.2000000000,-
3581,"13122","019002","3","","","","東京都","葛飾区","鎌倉","２丁目",1046,1044,1037,622,105,298,12,7,2,-,2359,2356,2344,1623,211,479,31,12,3,-,2.2552581262,2.2567049808,2.2603664417,2.6093247588,2.0095238095,1.6073825503,2.5833333333,1.7142857143,1.5000000000,-
3582,"13122","019003","3","","","","東京都","葛飾区","鎌倉","３丁目",1960,1954,1927,1355,58,477,37,27,6,-,4548,4536,4490,3501,110,779,100,46,12,-,2.3204081633,2.3213920164,2.3300467047,2.5837638376,1.8965517241,1.6331236897,2.7027027027,1.7037037037,2.0000000000,-
3583,"13122","019004","3","","","","東京都","葛飾区","鎌倉","４丁目",1263,1250,1240,849,-,375,16,10,13,-,2763,2740,2723,2143,-,561,19,17,23,-,2.1876484561,2.1920000000,2.1959677419,2.5241460542,-,1.4960000000,1.1875000000,1.7000000000,1.7692307692,-
3584,"13122","0200","2","","","","東京都","葛飾区","細田","",4554,4535,4492,2525,50,1840,77,43,19,-,10572,10539,10453,6781,105,3379,188,86,33,-,2.3214756258,2.3239250276,2.3270258237,2.6855445545,2.1000000000,1.8364130435,2.4415584416,2.0000000000,1.7368421053,-
3585,"13122","020001","3","","","","東京都","葛飾区","細田","１丁目",798,794,787,490,-,277,20,7,4,-,1921,1912,1898,1327,-,516,55,14,9,-,2.4072681704,2.4080604534,2.4116899619,2.7081632653,-,1.8628158845,2.7500000000,2.0000000000,2.2500000000,-
3586,"13122","020002","3","","","","東京都","葛飾区","細田","２丁目",124,124,124,68,41,15,-,-,-,-,349,349,349,225,94,30,-,-,-,-,2.8145161290,2.8145161290,2.8145161290,3.3088235294,2.2926829268,2.0000000000,-,-,-,-
3587,"13122","020003","3","","","","東京都","葛飾区","細田","３丁目",1054,1049,1034,703,-,321,10,15,5,-,2634,2626,2597,1927,-,639,31,29,8,-,2.4990512334,2.5033365110,2.5116054159,2.7411095306,-,1.9906542056,3.1000000000,1.9333333333,1.6000000000,-
3588,"13122","020004","3","","","","東京都","葛飾区","細田","４丁目",1447,1443,1430,718,9,671,32,13,4,-,3426,3416,3385,1936,11,1356,82,31,10,-,2.3676572218,2.3672903673,2.3671328671,2.6963788301,1.2222222222,2.0208643815,2.5625000000,2.3846153846,2.5000000000,-
3589,"13122","020005","3","","","","東京都","葛飾区","細田","５丁目",1131,1125,1117,546,-,556,15,8,6,-,2242,2236,2224,1366,-,838,20,12,6,-,1.9823165340,1.9875555556,1.9910474485,2.5018315018,-,1.5071942446,1.3333333333,1.5000000000,1.0000000000,-
3590,"13122","0210","2","","","","東京都","葛飾区","柴又","",9819,9730,9618,5768,605,3039,206,112,89,-,22227,22092,21877,14917,1338,5120,502,215,135,-,2.2636724717,2.2705035971,2.2745893117,2.5861650485,2.2115702479,1.6847647252,2.4368932039,1.9196428571,1.5168539326,-
